time,data,median,LB,UB
9,17,17,17,17
10,12,8.73417634926083,-0,48.9757072160751
11,25,13.1174724550109,-0,50.7657094446235
12,23,18.5958878211099,-0,58.2794668336946
13,41,25.8388077650516,-0,68.64935184308
14,68,37.4751803142069,0.125384229196673,75.3865152173763
15,75,51.6589020049609,12.4999476224725,91.8300262384166
16,83,68.4409402914903,29.6444171379103,109.045307473942
17,101,90.7296359312667,50.6711185958272,131.724150176112
18,109,120.024384739048,77.603257814282,162.311082421783
19,152,153.504913905102,112.397156051585,197.388430907071
20,174,194.047993915517,152.82933652514,236.318323230231
21,217,238.769150988251,197.864419920545,282.200851612175
22,295,288.723831339632,245.674307780592,329.43934980253
23,360,341.046388586843,298.821676569089,383.328411571144
24,381,388.869284199022,347.534587324457,430.80764899574
25,439,434.592895490206,392.66287793328,478.167835186878
26,476,468.350215069273,425.443176436771,510.968078205332
27,445,489.07331080642,443.76280169875,536.061000820513
28,525,494.35491344103,444.651443063597,544.161773077913
