time,data,median,LB,UB
9,17,17,17,17
10,12,9.72525660628967,-0,48.2632856615704
11,25,13.7799020758637,-0,51.8221003817022
12,23,18.6798371888184,-0,56.8235901094254
13,41,26.9865651110008,-0,64.5253561604969
14,68,36.3240076148175,-0,76.2865646221618
15,75,50.8802147369152,14.1302764645492,90.1493848565135
16,83,68.4250909550663,30.4525436161257,108.353846882825
17,101,92.2955782932035,51.5710400475047,131.172436998174
18,109,119.819042931526,79.037864628922,160.391416787669
19,152,154.157551756897,115.287675729279,193.112664218152
20,174,194.220016050224,152.178265050488,235.26337189595
21,217,238.071228489275,196.504821427651,279.549078297138
22,295,287.02558580409,247.710201141506,328.942062797523
23,360,339.340658363177,298.682581145187,379.600593206092
24,381,387.620777205595,345.825292764427,430.592328108297
25,439,431.785810733979,389.118845108661,474.925486047891
26,476,467.732893607596,423.822434426018,508.303525008364
27,445,488.381041908816,446.823701975427,531.790485256302
28,525,494.370285260838,445.793178361529,542.047567714244
29,538,486.873538101533,430.220842662416,542.266801257236
30,503,465.127559253315,394.976562797285,530.766500154594
31,488,428.536892360654,348.411016526487,506.48819985005
32,501,386.51046048816,294.085860235344,481.925718864685
33,452,340.866399425506,243.923551367357,440.29593897387
34,459,292.984093570731,190.50141220096,395.821423526499
35,355,249.116610951419,148.454491585297,353.381605244575
36,389,207.899428017368,113.125080890825,316.243985554502
37,307,172.629416911026,85.4653380672702,275.173315866054
38,291,140.424393745071,62.6244822963548,238.860253414048
39,245,115.513164338174,44.5471130189026,203.682216259846
40,228,94.4307177327214,29.510186423766,172.128897316192
41,207,75.1178838882814,16.2352364484873,143.351434865501
42,157,60.6527921453779,8.97526577015417,126.592924318451
43,116,48.0441253921207,4.72982817629455,105.067528692281
44,114,39.3830362155388,-0,92.7907126647529
45,83,30.5118366628125,-0,80.3163314296726
46,65,24.4811240294273,-0,71.7972072829404
47,55,19.5391742463132,-0,67.0446056260635
48,63,16.3549508514861,-0,56.8485653803823
49,45,12.6726409613086,-0,53.9007164169454
50,34,9.69326467521047,-0,52.9467408312483
51,38,8.06289311640467,-0,49.8671490204702
52,19,7.50945956217648,-0,46.9006541514898
53,18,5.82116739556006,-0,43.7091242027269
54,15,4.01760037192158,-0,41.3047080552358
55,14,3.11743692887248,-0,41.4343362719362
56,14,3.5180730017085,-0,42.3148200315168
57,10,0.963372894528496,-0,40.4044126353589
58,7,0.868033206394431,-0,42.120738598287
59,6,1.62421066872118,-0,39.2118692296931
60,5,1.22370411898638,-0,38.9017613756765
61,3,0.0270939505755463,-0,37.3330156820738
62,5,0.877526313014084,-0,37.7571273627841
63,1,2.0440689667918,-0,39.3967746244181
64,3,0.692762258633708,-0,37.3475726771659
65,2,0.626516378191894,-0,38.5724109183234
66,2,-0.69257141988812,-0,36.0352742834537
67,0,1.65814417020355,-0,39.3185331364042
68,2,0.59832315316904,-0,38.8534656082679
69,3,0.340778734702132,-0,38.044191986662
70,1,0.854881004591614,-0,39.3839916386139
NaN,NaN,0.376305507955167,-0,41.7190841505406
NaN,NaN,-0.146044345029233,-0,39.7164225289676
NaN,NaN,-0.141709103619155,-0,36.1331532267412
NaN,NaN,0.383596045786796,-0,36.7231449759678
NaN,NaN,-0.563158343395896,-0,38.7473194274592
NaN,NaN,0.050641592417586,-0,39.853159561885
NaN,NaN,-0.0194716516567144,-0,38.9784149077078
NaN,NaN,0.215619448504048,-0,38.4110184233586
NaN,NaN,-0.116616030443136,-0,36.9980779732207
NaN,NaN,0.29234604255684,-0,38.167462894063
NaN,NaN,0.515039299561938,-0,37.8837524903016
NaN,NaN,-0.127272542899389,-0,39.4554923520952
NaN,NaN,0.65364607407813,-0,40.6699273958899
NaN,NaN,-0.672196047707626,-0,37.6047887459788
NaN,NaN,0.13849811520619,-0,39.3095250707801
NaN,NaN,0.454989349260816,-0,38.877909231884
NaN,NaN,-0.179717412542171,-0,37.9833200466398
NaN,NaN,-0.614181724243722,-0,38.1808055213923
NaN,NaN,-0.359139412494291,-0,37.8847629346638
NaN,NaN,-0.149914947821081,-0,38.6983942953832
NaN,NaN,0.752543461172123,-0,37.7646914426904
NaN,NaN,-0.318121150399147,-0,39.3201402137212
NaN,NaN,-0.250649312622976,-0,38.2073261473593
NaN,NaN,0.901534342786806,-0,37.9686916597601
NaN,NaN,-0.358682213912044,-0,38.326342135565
NaN,NaN,0.55091462514106,-0,38.7733280756003
NaN,NaN,0.340010021928863,-0,39.74231000795
NaN,NaN,0.049070835533927,-0,38.1114436664867
NaN,NaN,0.076498214669628,-0,39.3669595900457
NaN,NaN,-0.0419815392971353,-0,40.0366966210817
NaN,NaN,-0.480064913286213,-0,37.9035250005192
NaN,NaN,-1.20726214453007,-0,35.9336963140736
NaN,NaN,1.27747968617597,-0,37.7700279917974
NaN,NaN,1.60223709261903,-0,40.633318968062
NaN,NaN,0.115662942752324,-0,39.5845120772973
NaN,NaN,-0.121610943539692,-0,37.9399600984756
NaN,NaN,0.0549112880621071,-0,39.5253081481537
NaN,NaN,0.542729121972451,-0,38.4729254255493
