time,data,median,LB,UB
10,12,12,12,12
11,25,9.7608973646907,-0,50.8334788751335
12,23,15.3675740178253,-0,59.6609226151775
13,41,24.7593071942812,-0,65.3635536495845
14,68,35.6632794829954,-0,77.1289676871074
15,75,50.5268174215775,10.262094048694,93.4024291899221
16,83,69.6411517940676,29.9511868874496,112.247587735395
17,101,93.2109429445839,48.673710139163,137.91837769851
18,109,122.09132342301,78.0786050537868,166.412092706565
19,152,155.758348013268,110.66319248674,203.426582583657
20,174,195.664345917352,152.980857378354,239.316060958644
21,217,239.409882888335,193.925706788392,283.462163260462
22,295,285.881682318228,238.459399057996,331.241897715601
23,360,334.077645634892,288.959517190244,378.87430681799
24,381,381.726640454497,337.41352457095,426.068318915513
25,439,426.262587942463,380.431031301736,469.425364168505
26,476,465.751845495073,420.342617064291,511.314508602692
27,445,495.063761211277,451.152337301209,541.215421805053
28,525,515.998931221184,473.872720592259,564.808609822084
29,538,523.72307929997,477.653254427258,578.914450601678
30,503,522.331700575387,462.705002391577,597.660855950993
31,488,506.520196411311,431.519629620053,603.20852974576
32,501,481.86713661884,394.494685475467,605.898012608584
33,452,452.043807247343,351.096300500516,607.601243846071
34,459,413.797952493366,303.072449112186,597.079211901047
35,355,375.655969486758,261.585771816444,578.165647891548
36,389,336.127493199721,216.878527478051,557.425149990625
37,307,296.919440833119,180.627750647809,537.698902016767
38,291,259.05194628768,146.641796175372,514.357937344054
39,245,225.103449436087,121.025003759636,483.68038169858
40,228,195.153409163166,93.4999841313512,459.547022408116
41,207,166.199587561174,73.7143816884871,415.926941103441
42,157,140.861634293199,57.7767149623951,385.358917107395
43,116,119.637215598714,42.8716743048782,352.344859109064
44,114,100.898467988258,28.9275284329976,318.80111064385
45,83,85.9310137721263,18.5829575805394,296.118306495611
46,65,70.9294452787636,9.28297010784224,272.963676662628
47,55,60.8658585905221,2.98408109426257,238.016464264761
48,63,50.8883307020674,-0,213.273935371554
49,45,44.5981871429704,-0,188.176869151723
50,34,35.5673797021105,-0,165.631265629112
51,38,31.1051468888277,-0,148.206644310529
52,19,26.8589111553001,-0,145.376082847595
53,18,22.3809557524486,-0,123.557587040169
54,15,19.3182843600947,-0,115.4154377323
55,14,16.0554467780248,-0,92.3788211382489
56,14,13.8637796858008,-0,94.3332290950278
57,10,11.4226032476032,-0,79.7608220781211
58,7,10.1966133560864,-0,73.4101397380402
59,6,9.16136688821164,-0,69.0636361186414
