Horizon,MAE,MSE,Coverage 95%PI,WIS
1,16.4259774550524,269.812735353888,100,10.8949021028822
2,16.2711372682627,264.773883486092,100,11.2916997511626
3,17.2938591548401,301.185468237647,100,11.8066536738733
4,13.3559791819213,226.48380377891,100,11.7338886723305
5,19.3675257540676,558.137121687608,100,14.3965824338332
6,19.7056077969717,541.412532531024,100,14.763243096898
7,24.3050875584929,848.898469014111,100,16.8855851978157
8,22.4176743104045,753.379462185379,100,16.6859999049769
9,23.2547118377795,769.344313412038,100,17.1393236133437
10,22.8536435231396,729.443146098302,100,17.0928948184837
11,23.7731054586943,761.936576400962,100,17.3763621340077
12,25.1569957540023,834.319141690675,100,17.9007836183417
13,24.3593687733099,786.962312321542,100,17.6016382978891
14,22.9426051719103,732.213055313188,100,17.1655657693015
15,22.2396211966461,693.645956566094,100,16.8155451889218
16,20.9806250782646,650.567577312248,100,16.3608019215865
17,20.1146915601837,614.603869002788,100,15.9570898887794
18,19.2669981302586,581.769363715452,100,15.552347816768
19,18.9537335489468,560.480894835864,100,15.2189497247351
20,18.1884072913849,533.121956548887,100,14.8199929650165
21,17.334944021478,507.738557909935,100,14.4388077495691
22,16.9655729928618,488.514153219674,100,14.0992135506409
23,16.4281723287212,468.196551762615,100,13.7883892399003
24,15.8159574402596,448.813790317081,100,13.464698364536
25,15.2370734332148,430.933476798253,100,13.1470916894142
26,14.6592784734737,414.360880355283,100,12.8350661387934
27,14.2113844159135,399.258072525583,100,12.535161884013
28,13.7105813647196,385.000130036297,100,12.2507432834829
29,13.2706584394698,371.755568977962,100,11.9798593119537
30,12.8463191118379,359.37345391631,100,11.7222549505637
